HuesoRamus;edad;individuo
47.8;8;1
46.4;8;2
46.3;8;3
45.1;8;4
47.6;8;5
52.5;8;6
51.2;8;7
49.8;8;8
48.1;8;9
45;8;10
51.2;8;11
48.5;8;12
52.1;8;13
48.2;8;14
49.6;8;15
50.7;8;16
47.2;8;17
53.3;8;18
46.2;8;19
46.3;8;20
48.8;8.5;1
47.3;8.5;2
46.8;8.5;3
45.3;8.5;4
48.5;8.5;5
53.2;8.5;6
53;8.5;7
50;8.5;8
50.8;8.5;9
47;8.5;10
51.4;8.5;11
49.2;8.5;12
52.8;8.5;13
48.9;8.5;14
50.4;8.5;15
51.7;8.5;16
47.7;8.5;17
54.6;8.5;18
47.5;8.5;19
47.6;8.5;20
49;9;1
47.7;9;2
47.8;9;3
46.1;9;4
48.9;9;5
53.3;9;6
54.3;9;7
50.3;9;8
52.3;9;9
47.3;9;10
51.6;9;11
53;9;12
53.7;9;13
49.3;9;14
51.2;9;15
52.7;9;16
48.4;9;17
55.1;9;18
48.1;9;19
51.3;9;20
49.7;9.5;1
48.4;9.5;2
48.5;9.5;3
47.2;9.5;4
49.3;9.5;5
53.7;9.5;6
54.5;9.5;7
52.7;9.5;8
54.4;9.5;9
48.3;9.5;10
51.9;9.5;11
55.5;9.5;12
55;9.5;13
49.8;9.5;14
51.8;9.5;15
53.3;9.5;16
49.5;9.5;17
55.3;9.5;18
48.4;9.5;19
51.8;9.5;20
